province,year,value
A Coruña,2008,2
Lugo,2008,0
Ourense,2008,0
Pontevedra,2008,5
Madrid,2008,11
Murcia,2008,4
Navarra,2008,3
Araba,2008,1
Bizkaia,2008,1
Gipuzkoa,2008,1
La Rioja,2008,2
Ceuta,2008,0
Melilla,2008,0
Almeria,2009,3
Cadiz,2009,1
Cordoba,2009,1
Granada,2009,2
Huelva,2009,2
Jaen,2009,0
Malaga,2009,5
Sevilla,2009,2
Huesca,2009,0
Teruel,2009,0
Zaragoza,2009,0
Asturias,2009,0
Illes Balears,2009,1
Las Palmas,2009,1
Santa Cruz de Tenerife,2009,4
Cantabria,2009,0
Avila,2009,1
Burgos,2009,0
Leon,2009,0
Palencia,2009,0
Salamanca,2009,0
Segovia,2009,0
Soria,2009,0
Valladolid,2009,0
Zamora,2009,0
Albacete,2009,0
Ciudad Real,2009,0
Cuenca,2009,0
Guadalajara,2009,0
Toledo,2009,1
Barcelona,2009,7
Girona,2009,0
Lleida,2009,0
Tarragona,2009,3
Alacant,2009,4
Castello,2009,2
Valencia,2009,3
Badajoz,2009,0
Caceres,2009,1
A Coruña,2009,2
Lugo,2009,0
Ourense,2009,1
Pontevedra,2009,0
Madrid,2009,5
Murcia,2009,2
Navarra,2009,0
Araba,2009,0
Bizkaia,2009,1
Gipuzkoa,2009,1
La Rioja,2009,1
Ceuta,2009,1
Melilla,2009,0
Almeria,2010,5
Cadiz,2010,1
Cordoba,2010,1
Granada,2010,2
Huelva,2010,1
Jaen,2010,0
Malaga,2010,3
Sevilla,2010,4
Huesca,2010,0
Teruel,2010,0
Zaragoza,2010,2
Asturias,2010,5
Illes Balears,2010,2
Las Palmas,2010,2
Santa Cruz de Tenerife,2010,6
Cantabria,2010,0
Avila,2010,0
Burgos,2010,2
Leon,2010,0
Palencia,2010,1
Salamanca,2010,0
Segovia,2010,0
Soria,2010,0
Valladolid,2010,1
Zamora,2010,0
Albacete,2010,0
Ciudad Real,2010,1
Cuenca,2010,2
Guadalajara,2010,0
Toledo,2010,0
Barcelona,2010,6
Girona,2010,4
Lleida,2010,0
Tarragona,2010,2
Alacant,2010,4
Castello,2010,2
Valencia,2010,2
Badajoz,2010,1
Caceres,2010,0
A Coruña,2010,1
Lugo,2010,1
Ourense,2010,0
Pontevedra,2010,0
Madrid,2010,7
Murcia,2010,1
Navarra,2010,0
Araba,2010,0
Bizkaia,2010,2
Gipuzkoa,2010,0
La Rioja,2010,0
Ceuta,2010,0
Melilla,2010,0
Almeria,2011,6
Cadiz,2011,1
Cordoba,2011,1
Granada,2011,3
Huelva,2011,0
Jaen,2011,2
Malaga,2011,2
Sevilla,2011,2
Huesca,2011,0
Teruel,2011,0
Zaragoza,2011,2
Asturias,2011,2
Illes Balears,2011,1
Las Palmas,2011,2
Santa Cruz de Tenerife,2011,1
Cantabria,2011,0
Avila,2011,0
Burgos,2011,1
Leon,2011,0
Palencia,2011,0
Salamanca,2011,0
Segovia,2011,1
Soria,2011,0
Valladolid,2011,0
Zamora,2011,0
Albacete,2011,0
Ciudad Real,2011,1
Cuenca,2011,0
Guadalajara,2011,0
Toledo,2011,0
Barcelona,2011,4
Girona,2011,3
Lleida,2011,1
Tarragona,2011,1
Alacant,2011,3
Castello,2011,1
Valencia,2011,4
Badajoz,2011,0
Caceres,2011,0
A Coruña,2011,2
Lugo,2011,0
Ourense,2011,0
Pontevedra,2011,1
Madrid,2011,9
Murcia,2011,2
Navarra,2011,1
Araba,2011,0
Bizkaia,2011,1
Gipuzkoa,2011,1
La Rioja,2011,0
Ceuta,2011,0
Melilla,2011,0
Almeria,2012,0
Cadiz,2012,0
Cordoba,2012,0
Granada,2012,1
Huelva,2012,0
Jaen,2012,2
Malaga,2012,2
Sevilla,2012,2
Huesca,2012,0
Teruel,2012,0
Zaragoza,2012,1
Asturias,2012,1
Illes Balears,2012,2
Las Palmas,2012,1
Santa Cruz de Tenerife,2012,1
Cantabria,2012,0
Avila,2012,0
Burgos,2012,0
Leon,2012,2
Palencia,2012,0
Salamanca,2012,0
Segovia,2012,0
Soria,2012,0
Valladolid,2012,0
Zamora,2012,0
Albacete,2012,1
Ciudad Real,2012,1
Cuenca,2012,1
Guadalajara,2012,1
Toledo,2012,0
Barcelona,2012,7
Girona,2012,2
Lleida,2012,0
Tarragona,2012,4
Alacant,2012,3
Castello,2012,0
Valencia,2012,3
Badajoz,2012,1
Caceres,2012,0
A Coruña,2012,3
Lugo,2012,0
Ourense,2012,1
Pontevedra,2012,0
Madrid,2012,6
Murcia,2012,0
Navarra,2012,0
Araba,2012,1
Bizkaia,2012,0
Gipuzkoa,2012,1
La Rioja,2012,0
Ceuta,2012,0
Melilla,2012,0
Almeria,2013,1
Cadiz,2013,1
Cordoba,2013,2
Granada,2013,1
Huelva,2013,0
Jaen,2013,2
Malaga,2013,3
Sevilla,2013,1
Huesca,2013,0
Teruel,2013,0
Zaragoza,2013,2
Asturias,2013,1
Illes Balears,2013,2
Las Palmas,2013,1
Santa Cruz de Tenerife,2013,1
Cantabria,2013,1
Avila,2013,0
Burgos,2013,0
Leon,2013,2
Palencia,2013,1
Salamanca,2013,0
Segovia,2013,0
Soria,2013,0
Valladolid,2013,0
Zamora,2013,1
Albacete,2013,1
Ciudad Real,2013,1
Cuenca,2013,1
Guadalajara,2013,1
Toledo,2013,0
Barcelona,2013,1
Girona,2013,0
Lleida,2013,2
Tarragona,2013,1
Alacant,2013,3
Castello,2013,1
Valencia,2013,5
Badajoz,2013,1
Caceres,2013,0
A Coruña,2013,0
Lugo,2013,1
Ourense,2013,1
Pontevedra,2013,1
Madrid,2013,9
Murcia,2013,0
Navarra,2013,0
Araba,2013,1
Bizkaia,2013,0
Gipuzkoa,2013,0
La Rioja,2013,0
Ceuta,2013,0
Melilla,2013,0
Almeria,2014,2
Cadiz,2014,2
Cordoba,2014,1
Granada,2014,2
Huelva,2014,0
Jaen,2014,0
Malaga,2014,4
Sevilla,2014,0
Huesca,2014,0
Teruel,2014,0
Zaragoza,2014,0
Asturias,2014,1
Illes Balears,2014,3
Las Palmas,2014,0
Santa Cruz de Tenerife,2014,1
Cantabria,2014,0
Avila,2014,0
Burgos,2014,0
Leon,2014,1
Palencia,2014,0
Salamanca,2014,0
Segovia,2014,0
Soria,2014,0
Valladolid,2014,2
Zamora,2014,0
Albacete,2014,0
Ciudad Real,2014,0
Cuenca,2014,0
Guadalajara,2014,0
Toledo,2014,0
Barcelona,2014,10
Girona,2014,1
Lleida,2014,0
Tarragona,2014,2
Alacant,2014,5
Castello,2014,0
Valencia,2014,3
Badajoz,2014,0
Caceres,2014,0
A Coruña,2014,1
Lugo,2014,2
Ourense,2014,0
Pontevedra,2014,2
Madrid,2014,7
Murcia,2014,0
Navarra,2014,0
Araba,2014,1
Bizkaia,2014,2
Gipuzkoa,2014,0
La Rioja,2014,0
Ceuta,2014,0
Melilla,2014,2
Almeria,2015,2
Cadiz,2015,0
Cordoba,2015,1
Granada,2015,2
Huelva,2015,0
Jaen,2015,1
Malaga,2015,4
Sevilla,2015,4
Huesca,2015,0
Teruel,2015,0
Zaragoza,2015,1
Asturias,2015,3
Illes Balears,2015,1
Las Palmas,2015,1
Santa Cruz de Tenerife,2015,2
Cantabria,2015,1
Avila,2015,0
Burgos,2015,0
Leon,2015,0
Palencia,2015,1
Salamanca,2015,0
Segovia,2015,0
Soria,2015,1
Valladolid,2015,0
Zamora,2015,0
Albacete,2015,0
Ciudad Real,2015,0
Cuenca,2015,1
Guadalajara,2015,0
Toledo,2015,0
Barcelona,2015,5
Girona,2015,0
Lleida,2015,1
Tarragona,2015,0
Alacant,2015,7
Castello,2015,0
Valencia,2015,4
Badajoz,2015,0
Caceres,2015,1
A Coruña,2015,1
Lugo,2015,0
Ourense,2015,1
Pontevedra,2015,5
Madrid,2015,4
Murcia,2015,1
Navarra,2015,0
Araba,2015,1
Bizkaia,2015,2
Gipuzkoa,2015,0
La Rioja,2015,0
Ceuta,2015,0
Melilla,2015,0
Almeria,2016,0
Cadiz,2016,0
Cordoba,2016,0
Granada,2016,1
Huelva,2016,1
Jaen,2016,0
Malaga,2016,1
Sevilla,2016,2
Huesca,2016,0
Teruel,2016,0
Zaragoza,2016,3
Asturias,2016,2
Illes Balears,2016,6
Las Palmas,2016,3
Santa Cruz de Tenerife,2016,1
Cantabria,2016,0
Avila,2016,1
Burgos,2016,2
Leon,2016,1
Palencia,2016,0
Salamanca,2016,2
Segovia,2016,0
Soria,2016,0
Valladolid,2016,0
Zamora,2016,0
Albacete,2016,0
Ciudad Real,2016,0
Cuenca,2016,0
Guadalajara,2016,1
Toledo,2016,0
Barcelona,2016,4
Girona,2016,0
Lleida,2016,0
Tarragona,2016,2
Alacant,2016,3
Castello,2016,1
Valencia,2016,2
Badajoz,2016,1
Caceres,2016,0
A Coruña,2016,1
Lugo,2016,2
Ourense,2016,0
Pontevedra,2016,1
Madrid,2016,3
Murcia,2016,0
Navarra,2016,0
Araba,2016,0
Bizkaia,2016,1
Gipuzkoa,2016,0
La Rioja,2016,0
Ceuta,2016,0
Melilla,2016,1
Almeria,2017,3
Cadiz,2017,0
Cordoba,2017,0
Granada,2017,2
Huelva,2017,0
Jaen,2017,0
Malaga,2017,0
Sevilla,2017,2
Huesca,2017,0
Teruel,2017,0
Zaragoza,2017,0
Asturias,2017,0
Illes Balears,2017,0
Las Palmas,2017,2
Santa Cruz de Tenerife,2017,3
Cantabria,2017,0
Avila,2017,0
Burgos,2017,0
Leon,2017,0
Palencia,2017,0
Salamanca,2017,0
Segovia,2017,0
Soria,2017,0
Valladolid,2017,0
Zamora,2017,0
Albacete,2017,0
Ciudad Real,2017,2
Cuenca,2017,0
Guadalajara,2017,1
Toledo,2017,3
Barcelona,2017,7
Girona,2017,0
Lleida,2017,0
Tarragona,2017,1
Alacant,2017,2
Castello,2017,2
Valencia,2017,3
Badajoz,2017,1
Caceres,2017,0
A Coruña,2017,0
Lugo,2017,0
Ourense,2017,1
Pontevedra,2017,1
Madrid,2017,7
Murcia,2017,3
Navarra,2017,1
Araba,2017,1
Bizkaia,2017,1
Gipuzkoa,2017,0
La Rioja,2017,0
Ceuta,2017,0
Melilla,2017,0
Almeria,2018,2
Cadiz,2018,0
Cordoba,2018,0
Granada,2018,5
Huelva,2018,1
Jaen,2018,1
Malaga,2018,2
Sevilla,2018,1
Huesca,2018,2
Teruel,2018,0
Zaragoza,2018,2
Asturias,2018,3
Illes Balears,2018,2
Las Palmas,2018,1
Santa Cruz de Tenerife,2018,2
Cantabria,2018,0
Avila,2018,0
Burgos,2018,1
Leon,2018,1
Palencia,2018,0
Salamanca,2018,0
Segovia,2018,0
Soria,2018,0
Valladolid,2018,0
Zamora,2018,0
Albacete,2018,0
Ciudad Real,2018,0
Cuenca,2018,0
Guadalajara,2018,0
Toledo,2018,2
Barcelona,2018,6
Girona,2018,2
Lleida,2018,0
Tarragona,2018,0
Alacant,2018,1
Castello,2018,1
Valencia,2018,0
Badajoz,2018,0
Caceres,2018,0
A Coruña,2018,2
Lugo,2018,0
Ourense,2018,0
Pontevedra,2018,1
Madrid,2018,5
Murcia,2018,2
Navarra,2018,2
Araba,2018,1
Bizkaia,2018,1
Gipuzkoa,2018,0
La Rioja,2018,0
Ceuta,2018,0
Melilla,2018,0
Almeria,2019,1
Cadiz,2019,1
Cordoba,2019,4
Granada,2019,1
Huelva,2019,1
Jaen,2019,2
Malaga,2019,4
Sevilla,2019,1
Huesca,2019,0
Teruel,2019,0
Zaragoza,2019,1
Asturias,2019,0
Illes Balears,2019,1
Las Palmas,2019,4
Santa Cruz de Tenerife,2019,5
Cantabria,2019,2
Avila,2019,0
Burgos,2019,2
Leon,2019,1
Palencia,2019,0
Salamanca,2019,0
Segovia,2019,0
Soria,2019,0
Valladolid,2019,0
Zamora,2019,0
Albacete,2019,0
Ciudad Real,2019,0
Cuenca,2019,0
Guadalajara,2019,0
Toledo,2019,0
Barcelona,2019,6
Girona,2019,1
Lleida,2019,0
Tarragona,2019,1
Alacant,2019,5
Castello,2019,1
Valencia,2019,1
Badajoz,2019,0
Caceres,2019,0
A Coruña,2019,0
Lugo,2019,1
Ourense,2019,0
Pontevedra,2019,2
Madrid,2019,6
Murcia,2019,1
Navarra,2019,0
Araba,2019,0
Bizkaia,2019,0
Gipuzkoa,2019,0
La Rioja,2019,0
Ceuta,2019,0
Melilla,2019,0
Almeria,2020,0
Cadiz,2020,3
Cordoba,2020,1
Granada,2020,2
Huelva,2020,0
Jaen,2020,1
Malaga,2020,0
Sevilla,2020,3
Huesca,2020,0
Teruel,2020,0
Zaragoza,2020,0
Asturias,2020,1
Illes Balears,2020,3
Las Palmas,2020,3
Santa Cruz de Tenerife,2020,2
Cantabria,2020,1
Avila,2020,0
Burgos,2020,0
Leon,2020,0
Palencia,2020,0
Salamanca,2020,0
Segovia,2020,1
Soria,2020,0
Valladolid,2020,0
Zamora,2020,0
Albacete,2020,1
Ciudad Real,2020,2
Cuenca,2020,0
Guadalajara,2020,0
Toledo,2020,1
Barcelona,2020,6
Girona,2020,2
Lleida,2020,0
Tarragona,2020,0
Alacant,2020,2
Castello,2020,1
Valencia,2020,5
Badajoz,2020,0
Caceres,2020,0
A Coruña,2020,0
Lugo,2020,2
Ourense,2020,1
Pontevedra,2020,1
Madrid,2020,3
Murcia,2020,2
Navarra,2020,0
Araba,2020,0
Bizkaia,2020,1
Gipuzkoa,2020,0
La Rioja,2020,1
Ceuta,2020,0
Melilla,2020,0
Almeria,2021,1
Cadiz,2021,2
Cordoba,2021,0
Granada,2021,1
Huelva,2021,0
Jaen,2021,1
Malaga,2021,2
Sevilla,2021,2
Huesca,2021,1
Teruel,2021,0
Zaragoza,2021,1
Asturias,2021,1
Illes Balears,2021,2
Las Palmas,2021,0
Santa Cruz de Tenerife,2021,0
Cantabria,2021,1
Avila,2021,0
Burgos,2021,0
Leon,2021,1
Palencia,2021,0
Salamanca,2021,1
Segovia,2021,0
Soria,2021,0
Valladolid,2021,2
Zamora,2021,0
Albacete,2021,0
Ciudad Real,2021,0
Cuenca,2021,0
Guadalajara,2021,1
Toledo,2021,0
Barcelona,2021,6
Girona,2021,2
Lleida,2021,0
Tarragona,2021,3
Alacant,2021,4
Castello,2021,1
Valencia,2021,2
Badajoz,2021,0
Caceres,2021,0
A Coruña,2021,1
Lugo,2021,0
Ourense,2021,0
Pontevedra,2021,0
Madrid,2021,7
Murcia,2021,0
Navarra,2021,1
Araba,2021,1
Bizkaia,2021,1
Gipuzkoa,2021,0
La Rioja,2021,0
Ceuta,2021,0
Melilla,2021,0
Almeria,2022,1
Cadiz,2022,0
Cordoba,2022,1
Granada,2022,2
Huelva,2022,0
Jaen,2022,0
Malaga,2022,3
Sevilla,2022,4
Huesca,2022,0
Teruel,2022,0
Zaragoza,2022,2
Asturias,2022,0
Illes Balears,2022,0
Las Palmas,2022,0
Santa Cruz de Tenerife,2022,2
Cantabria,2022,0
Avila,2022,0
Burgos,2022,0
Leon,2022,0
Palencia,2022,1
Salamanca,2022,0
Segovia,2022,0
Soria,2022,1
Valladolid,2022,1
Zamora,2022,0
Albacete,2022,1
Ciudad Real,2022,1
Cuenca,2022,2
Guadalajara,2022,0
Toledo,2022,3
Barcelona,2022,5
Girona,2022,2
Lleida,2022,1
Tarragona,2022,1
Alacant,2022,2
Castello,2022,0
Valencia,2022,1
Badajoz,2022,0
Caceres,2022,1
A Coruña,2022,0
Lugo,2022,0
Ourense,2022,0
Pontevedra,2022,0
Madrid,2022,7
Murcia,2022,2
Navarra,2022,1
Araba,2022,0
Bizkaia,2022,1
Gipuzkoa,2022,0
La Rioja,2022,0
Ceuta,2022,1
Melilla,2022,0
Almeria,2023,1
Cadiz,2023,3
Cordoba,2023,1
Granada,2023,2
Huelva,2023,1
Jaen,2023,1
Malaga,2023,4
Sevilla,2023,3
Huesca,2023,0
Teruel,2023,0
Zaragoza,2023,1
Asturias,2023,0
Illes Balears,2023,0
Las Palmas,2023,1
Santa Cruz de Tenerife,2023,2
Cantabria,2023,0
Avila,2023,1
Burgos,2023,0
Leon,2023,0
Palencia,2023,0
Salamanca,2023,1
Segovia,2023,0
Soria,2023,0
Valladolid,2023,1
Zamora,2023,0
Albacete,2023,0
Ciudad Real,2023,1
Cuenca,2023,0
Guadalajara,2023,0
Toledo,2023,1
Barcelona,2023,5
Girona,2023,2
Lleida,2023,2
Tarragona,2023,2
Alacant,2023,2
Castello,2023,2
Valencia,2023,3
Badajoz,2023,0
Caceres,2023,0
A Coruña,2023,1
Lugo,2023,0
Ourense,2023,0
Pontevedra,2023,2
Madrid,2023,7
Murcia,2023,1
Navarra,2023,1
Araba,2023,1
Bizkaia,2023,0
Gipuzkoa,2023,1
La Rioja,2023,1
Ceuta,2023,0
Melilla,2023,0
Almeria,2024,2
Cadiz,2024,0
Cordoba,2024,0
Granada,2024,1
Huelva,2024,0
Jaen,2024,0
Malaga,2024,5
Sevilla,2024,2
Huesca,2024,0
Teruel,2024,0
Zaragoza,2024,1
Asturias,2024,0
Illes Balears,2024,1
Las Palmas,2024,0
Santa Cruz de Tenerife,2024,0
Cantabria,2024,0
Avila,2024,0
Burgos,2024,0
Leon,2024,0
Palencia,2024,0
Salamanca,2024,0
Segovia,2024,1
Soria,2024,0
Valladolid,2024,1
Zamora,2024,0
Albacete,2024,0
Ciudad Real,2024,1
Cuenca,2024,1
Guadalajara,2024,0
Toledo,2024,0
Barcelona,2024,8
Girona,2024,3
Lleida,2024,0
Tarragona,2024,2
Alacant,2024,4
Castello,2024,1
Valencia,2024,2
Badajoz,2024,0
Caceres,2024,0
A Coruña,2024,2
Lugo,2024,1
Ourense,2024,0
Pontevedra,2024,2
Madrid,2024,4
Murcia,2024,1
Navarra,2024,0
Araba,2024,0
Bizkaia,2024,1
Gipuzkoa,2024,1
La Rioja,2024,1
Ceuta,2024,0
Melilla,2024,0
